Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties,score_temp_variability,score_temp_optimality,score_sunshine,score_density,score_safety,score_corruption,score_healthcare,score_air_purity,score_freedom,score_ppp,score_income_proxy,utility_score,data_completeness
Ethiopia,28.0,12.11111111,19.33333333,1092.2,698.5621892864017,114963.588,112078.73,1.0257,1104300.0,101.493,50.03,49.97,,77.74,38.0,22.0,9.0,13.0,56.44444444,86.66666663999999,,93.2338,49.97,38.0,,22.260000000000005,22.0,0.0,83.95045638874319,53.767071573046444,9
Uruguay,29.44444444,6.888888889,16.83333333,1137.92,762.9663779780698,3473.73,3461.734,1.0035,181034.0,19.122,51.22,48.78,67.66,45.67,71.0,98.0,40.0,58.0,29.777777795999995,57.833333317,,79.122,48.78,71.0,67.66,54.33,100.0,0.0,79.99746030516681,53.51927182504168,10
Mexico,31.38888889,8.277777778,20.61111111,934.72,627.0694160727543,128932.753,127575.529,1.0106,1964375.0,64.9446,55.0,45.0,72.51,61.24,31.0,61.0,27.0,34.0,27.555555552,70.888888864,,95.67036,45.0,31.0,72.51,38.76,71.5,21.263311124717493,88.33853514974655,53.349860108154,10
Chile,22.77777778,4.888888889,12.27777778,1061.72,679.7109710560751,19116.201,18952.038,1.0087,756102.0,25.0655,52.08,47.92,63.72,78.96,67.0,93.0,38.0,55.0,48.444444436,29.055555567,,98.32896666666667,47.92,67.0,63.72,21.040000000000006,100.0,43.72821958545432,85.10750522902715,52.875918218228016,10
Ireland,18.38888889,2.944444444,9.666666667,1036.32,1516.9838758723429,4937.786,4882.495,1.0113,70273.0,69.479,45.02,54.98,52.78,33.59,72.0,97.0,39.0,58.0,58.222222216,10.166666667000001,,95.36806666666666,54.98,72.0,52.78,66.41,100.0,69.02901421981426,39.40305680784762,52.769453049051776,10
Malta,31.0,9.555555556,18.72222222,558.8,1201.3693180373832,441.543,440.372,1.0027,316.0,1393.5823,38.93,61.07,67.12,77.76,53.0,90.0,35.0,55.0,34.22222222400001,65.444444428,,22.128353999999998,61.07,53.0,67.12,22.239999999999995,100.0,48.61705795514699,53.08919330751063,52.322996159041104,10
Denmark,19.88888889,-1.666666667,7.777777778,607.06,1424.6957130655444,5792.202,5771.876,1.0035,43094.0,133.9369,26.72,73.28,79.96,20.4,88.0,97.0,40.0,57.0,33.77777777199999,0.0,,91.07087333333334,73.28,88.0,79.96,79.6,100.0,67.74433646728727,43.08956966263705,50.890437604078606,10
Cameroon,31.22222222,17.33333333,23.83333333,1930.4,440.216848997754,26545.863,25876.38,1.0259,475442.0,54.4259,,,,,25.0,16.0,7.0,9.0,68.88888888,81.66666670000001,,96.37160666666666,,25.0,,,16.0,47.12850015510283,95.3261050334082,50.423166024073616,7
Estonia,21.11111111,-7.777777778,5.5,650.24,720.8293885394868,1326.535,1325.648,1.0007,45227.0,29.311,23.38,76.62,72.83,19.01,75.0,94.0,38.0,56.0,12.222222224,0.0,,98.04593333333334,76.62,75.0,72.83,80.99,100.0,100.0,82.58374168853848,50.341715800366984,10
Namibia,28.38888889,7.777777778,20.16666667,309.88,686.4388046697453,2540.905,2494.53,1.0186,825615.0,3.0214,65.89,34.11,,,51.0,77.0,31.0,46.0,37.555555552,86.66666669400001,,63.0214,34.11,51.0,,,95.5,6.713571381068014,84.69456469726897,50.245457121208574,8
