Country,max temp,min temp,avg temp,avg rainfall,Cost of Living pw,pop2020,pop2019,GrowthRate,area,Density,Crime Index,Safety Index,Health Care Index,Pollution Index,CPI score 2020,Score,Political Rights,Civil Liberties
Barbados,30.55555556,21.66666667,26.5,1280.16,1271.4844676429,287.375,287.025,1.0012,430.0,667.5,,,,,64.0,95.0,38.0,57.0
Belarus,23.16666667,-7.722222222,5.944444444,645.16,439.3345283107952,9449.323,9452.411,0.9997,207600.0,45.5318,60.27,39.73,44.44,44.47,47.0,11.0,2.0,9.0
Belgium,21.44444444,-0.777777778,9.333333333,840.74,1173.926530688719,11589.623,11539.328,1.0044,30528.0,377.9916,44.17,55.83,75.2,50.27,76.0,96.0,39.0,57.0
Belize,32.05555556,19.05555556,25.0,1727.2,742.2576915299023,397.628,390.353,1.0186,22966.0,16.997,51.31,48.69,,,,87.0,34.0,53.0
Benin,34.88888889,20.88888889,26.94444444,1107.44,,12123.2,11801.151,1.0273,112622.0,104.7855,,,,,41.0,65.0,21.0,44.0
Bermuda,29.77777778,15.77777778,21.77777778,1501.14,3167.37583604796,62.278,62.506,0.9964,54.0,1157.5185,,,,,,,,
Bhutan,26.16666667,1.0,15.61111111,1084.58,410.6611208884679,771.608,763.092,1.0112,38394.0,19.8753,,,,,68.0,61.0,30.0,31.0
Panama,31.44444444,23.16666667,25.94444444,2237.74,890.1697665964235,4314.767,4246.439,1.0161,75417.0,56.3061,45.85,54.15,60.43,59.77,35.0,83.0,35.0,48.0
Bosnia And Herzegovina,25.05555556,-2.666666667,9.888888889,1061.72,424.0305250649595,3280.819,3301.0,0.9939,51209.0,64.4613,43.01,56.99,53.48,60.71,35.0,53.0,19.0,34.0
Botswana,32.11111111,5.277777778,20.94444444,441.96,602.9589218435322,2351.627,2303.697,1.0208,582000.0,3.9582,52.84,47.16,,,60.0,72.0,28.0,44.0
Brazil,32.27777778,17.94444444,24.5,952.5,438.8856195747117,212559.417,211049.527,1.0072,8515767.0,24.7834,67.85,32.15,57.33,54.53,38.0,74.0,31.0,43.0
British Indian Ocean Territory,30.55555556,22.77777778,25.55555556,2506.98,,,,,,,,,,,,,,
British Virgin Islands,30.83333333,21.38888889,25.55555556,1051.56,,30.231,30.03,1.0067,151.0,198.8742,,,,,,,,
Brunei,31.66666667,23.33333333,27.22222222,2839.72,,437.479,433.285,1.0097,5765.0,75.1578,28.03,71.97,,,,28.0,7.0,21.0
Bulgaria,26.05555556,-3.777777778,9.666666667,627.38,471.6373260228086,6948.445,7000.119,0.9926,110879.0,63.133,38.12,61.88,56.13,64.48,44.0,78.0,33.0,45.0
Burkina Faso,38.27777778,18.11111111,28.27777778,789.94,462.9167361578202,20903.273,20321.378,1.0286,272967.0,74.4463,,,,,40.0,54.0,23.0,31.0
