Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,,,,,,,,,,,,,,,,,,,,
Central Europe and the Baltics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,1.936289001,1.974260001,1.971282001,1.970372001,1.952026002,1.926041,1.891189,1.844334002,1.827662999,1.802835999,1.788109001,1.768378999,1.709759999,1.717017999,1.693208999,1.686548001,1.600988999,1.533994,1.493048999,1.46898,1.464944,1.397498001,1.354072,1.312476999,1.281760999,1.235787999,1.201964,1.187726,1.17868,1.159406001,1.139488,,,,,,,,,,,,,,,,,,,,
Channel Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,168.5994628,197.6885074,216.0356805,233.4894911,257.4139066,275.6340341,275.2972729,278.9163764,278.6874601,280.9830924,286.5797566,291.2558866,296.446408,304.3677688,319.6533423,333.690048,318.5747222,323.878982,340.4008492,354.3258402,359.8370082,348.0168607,347.2284916,349.6805493,367.2139624,391.1789155,397.2507073,397.6894244,411.8227729,398.922749,418.4322765,,,,,,,,,,,,,,,,,,,,
China,1.692147956,1.746698771,1.847652733,2.078977957,2.455173359,2.733375624,2.858881997,2.855851743,2.798642599,2.72396538,2.71936444,2.715469387,2.689281147,2.708979584,2.821350893,2.842933478,2.867777839,3.009186493,3.181871397,3.151181294,3.329232163,3.524467708,3.560967923,3.663644787,3.75884986,3.870697253,3.988837239,4.183811193,4.228703652,4.208026535,4.185601824,,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,120.0054482,116.8500862,114.2192843,118.4423364,169.7581032,184.6343593,190.3494721,198.727508,203.6678129,202.3475145,202.3679888,212.6712056,223.3182683,229.7727065,217.2811995,213.4595192,210.8029781,211.3097634,224.9019034,228.4360378,237.9676421,236.9105724,241.7153864,247.2415874,246.5193319,250.6382503,252.410839,253.7456023,249.3691584,245.4868471,245.2539077,,,,,,,,,,,,,,,,,,,,
Cameroon,153.3979016,153.6753142,148.3315079,202.5684053,217.4103514,223.5771994,221.912334,230.3428308,237.5925037,231.588323,238.3372639,236.6283116,237.2337407,233.3644408,231.7596467,226.4418914,227.1726164,223.3486439,233.5748419,235.6213264,237.3554802,238.707067,242.1939673,241.0830027,239.1193521,240.7082407,237.4437377,232.8013899,230.9789952,232.6553678,228.7506645,,,,,,,,,,,,,,,,,,,,
"Congo, Dem. Rep.",7.35E-10,1.73E-08,6.67E-07,1.15E-05,0.003018796,0.016747515,0.121405315,0.349261323,0.438401872,2.341898261,62.53866062,105.9062541,137.3269474,152.9102958,158.3798125,199.4736688,219.4140635,256.9890749,303.675752,399.8021779,477.3440577,532.0634752,583.2546426,558.9065106,530.0175436,508.5955186,494.1268088,645.3907163,812.8396146,836.156756,911.2705024,,,,,,,,,,,,,,,,,,,,
"Congo, Rep.",101.6095873,96.83055205,93.18736961,90.00119162,120.5059273,122.0392515,141.4072539,145.9113594,117.9952002,150.4607409,216.400051,182.2679528,176.309659,165.7359214,188.5163032,221.8163968,239.8028629,249.2697642,284.2941148,222.4269044,284.5440779,309.2512193,316.1163713,316.1519502,314.8050617,311.9990465,316.625231,297.6739756,358.7369303,345.1087904,312.0384756,,,,,,,,,,,,,,,,,,,,
Colombia,174.1783095,213.9802269,256.6291808,312.9649486,374.1296808,435.5245152,499.8383023,574.1104876,651.5901732,723.3958516,786.4961753,819.7823314,855.1810718,896.9253399,937.021826,951.9086244,977.6078913,1001.558425,1057.8753,1092.540353,1121.047327,1168.243406,1203.58524,1206.678725,1220.607765,1276.47896,1298.143266,1328.015957,1338.005649,1349.411117,1352.786402,,,,,,,,,,,,,,,,,,,,
Comoros,165.3731455,172.9508652,157.6586555,158.3725385,169.6634031,180.0066278,182.4242616,180.9895459,181.3853305,189.1946758,191.3986591,203.4537495,208.6389024,215.3057406,216.7652768,210.8811733,211.0542625,212.8190717,215.2492005,215.8119829,216.8534136,218.9776067,213.9636074,211.5000173,206.343111,203.3440333,197.5705539,190.1258881,187.8270068,188.8206827,182.3411029,,,,,,,,,,,,,,,,,,,,
Cabo Verde,56.23147349,56.99876102,53.43504516,77.96032708,54.06292914,52.13347922,54.14848902,52.78595564,52.02306786,55.18632227,53.33136789,54.87708877,53.82636562,55.44553928,50.57289481,48.164861,48.91920597,48.28993276,49.04820968,49.73566241,49.41110853,49.69546124,51.14078993,51.8552163,51.83972443,50.45266382,49.36414294,48.4771274,48.06187832,47.48478101,46.51202596,,,,,,,,,,,,,,,,,,,,
Costa Rica,33.32622152,53.11689403,62.17923675,67.07871331,75.96806485,90.20928826,101.9418183,114.9250126,127.2131753,139.2338407,148.9771675,159.9507352,172.870529,187.790747,207.2810366,227.1787063,249.1368653,268.1351895,293.0658853,319.0647574,336.2964413,344.546009,353.7848076,357.828098,363.4217466,364.1627443,343.0136355,340.9918977,342.6640761,341.441196,335.8596698,,,,,,,,,,,,,,,,,,,,
Caribbean small states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,,,,,,,,,,,,,,,,,,,,,,0.321938711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
